Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_Platform,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_PowerPlan,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Overhead,Jitting,1,248600,1,248600
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Workload,Jitting,1,18431200,1,18431200
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Overhead,Jitting,2,263000,16,16437.5
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Workload,Jitting,2,344400,16,21525
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Workload,Pilot,1,820300,16,51268.75
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Workload,Pilot,2,33600,32,1050
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Workload,Pilot,3,94400,64,1475
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Workload,Pilot,4,120100,128,938.28
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Workload,Pilot,5,187600,256,732.81
"ConcurrentAsyncFileLogging.'KeepFileOpen=true, ConcurrentWrites=false'",Comparison.Runner,ConcurrentAsyncFileLogging,"'KeepFileOpen=true, ConcurrentWrites=false'",Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr(Runtime=Clr),,1,Workload,Pilot,6,855300,512,1670.51
