*** CreateStringLogger.CreateLog4NetFromString: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
OverheadJitting 1: 1 op, 325400 ns, 325.4000 us/op
WorkloadJitting 1: 1 op, 640200 ns, 640.2000 us/op
OverheadWarmup 1: 1 op, 1300 ns, 1.3000 us/op
OverheadWarmup 2: 1 op, 200 ns, 200.0000 ns/op
OverheadWarmup 3: 1 op, 500 ns, 500.0000 ns/op
OverheadWarmup 4: 1 op, 300 ns, 300.0000 ns/op
OverheadWarmup 5: 1 op, 300 ns, 300.0000 ns/op
OverheadWarmup 6: 1 op, 12800 ns, 12.8000 us/op
OverheadActual 1: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 2: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 3: 1 op, 500 ns, 500.0000 ns/op
OverheadActual 4: 1 op, 400 ns, 400.0000 ns/op
OverheadActual 5: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 6: 1 op, 500 ns, 500.0000 ns/op
OverheadActual 7: 1 op, 600 ns, 600.0000 ns/op
OverheadActual 8: 1 op, 300 ns, 300.0000 ns/op
OverheadActual 9: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 10: 1 op, 300 ns, 300.0000 ns/op
OverheadActual 11: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 12: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 13: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 14: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 15: 1 op, 100 ns, 100.0000 ns/op
OverheadActual 16: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 17: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 18: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 19: 1 op, 200 ns, 200.0000 ns/op
OverheadActual 20: 1 op, 200 ns, 200.0000 ns/op
WorkloadWarmup 1: 1 op, 17500 ns, 17.5000 us/op
WorkloadWarmup 2: 1 op, 12200 ns, 12.2000 us/op
WorkloadWarmup 3: 1 op, 11100 ns, 11.1000 us/op
WorkloadWarmup 4: 1 op, 14100 ns, 14.1000 us/op
WorkloadWarmup 5: 1 op, 23100 ns, 23.1000 us/op
WorkloadWarmup 6: 1 op, 40600 ns, 40.6000 us/op
WorkloadWarmup 7: 1 op, 12000 ns, 12.0000 us/op
WorkloadWarmup 8: 1 op, 23900 ns, 23.9000 us/op
WorkloadWarmup 9: 1 op, 13100 ns, 13.1000 us/op
WorkloadActual 1: 1 op, 14600 ns, 14.6000 us/op
WorkloadActual 2: 1 op, 14900 ns, 14.9000 us/op
WorkloadActual 3: 1 op, 36900 ns, 36.9000 us/op
WorkloadActual 4: 1 op, 23500 ns, 23.5000 us/op
WorkloadActual 5: 1 op, 44500 ns, 44.5000 us/op
WorkloadActual 6: 1 op, 24200 ns, 24.2000 us/op
WorkloadActual 7: 1 op, 29500 ns, 29.5000 us/op
WorkloadActual 8: 1 op, 23100 ns, 23.1000 us/op
WorkloadActual 9: 1 op, 29200 ns, 29.2000 us/op
WorkloadActual 10: 1 op, 10800 ns, 10.8000 us/op
WorkloadActual 11: 1 op, 23400 ns, 23.4000 us/op
WorkloadActual 12: 1 op, 23500 ns, 23.5000 us/op
WorkloadActual 13: 1 op, 10500 ns, 10.5000 us/op
WorkloadActual 14: 1 op, 11500 ns, 11.5000 us/op
WorkloadActual 15: 1 op, 22800 ns, 22.8000 us/op
WorkloadActual 16: 1 op, 40500 ns, 40.5000 us/op
WorkloadActual 17: 1 op, 10400 ns, 10.4000 us/op
WorkloadActual 18: 1 op, 22300 ns, 22.3000 us/op
WorkloadActual 19: 1 op, 23500 ns, 23.5000 us/op
