Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_Platform,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_PowerPlan,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Jitting,1,334600,1,334600
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Workload,Jitting,1,992500,1,992500
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Warmup,1,1500,1,1500
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Warmup,2,800,1,800
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Warmup,3,700,1,700
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Warmup,4,200,1,200
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Warmup,5,300,1,300
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Warmup,6,200,1,200
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Warmup,7,200,1,200
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Warmup,8,300,1,300
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Actual,1,300,1,300
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Actual,2,700,1,700
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Actual,3,400,1,400
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Actual,4,300,1,300
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Actual,5,200,1,200
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Actual,6,200,1,200
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Actual,7,200,1,200
CreateTypeLogger.CreateLog4Net,Comparison.Runner,CreateTypeLogger,CreateLog4Net,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Clr,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,"Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1)",,1,Overhead,Actual,8,200,1,200
