Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,_intArgument,_stringArgument,Mean,Error,StdDev,Ratio,Rank
Log4NetNoParams,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,11.946 ns,0.0213 ns,0.0200 ns,1.00,1
Log4NetSingleReferenceParam,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,11.208 ns,0.0252 ns,0.0236 ns,1.00,1
Log4NetSingleValueParam,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,12.449 ns,0.0159 ns,0.0141 ns,1.00,1
Log4NetMultipleReferencesParam,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,47.585 ns,0.0637 ns,0.0564 ns,1.00,1
Log4NetMultipleValuesParam,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,61.371 ns,0.0972 ns,0.0909 ns,1.00,1
NLogNetNoParams,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,1.825 ns,0.0033 ns,0.0026 ns,1.00,1
NLogNetSingleReferenceParam,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,2.062 ns,0.0034 ns,0.0031 ns,1.00,1
NLogNetSingleValueParam,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,2.003 ns,0.0025 ns,0.0024 ns,1.00,1
NLogNetMultipleReferencesParam,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,35.744 ns,0.0405 ns,0.0379 ns,1.00,1
NLogNetMultipleValuesParam,Clr,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,ltfdmhiubtc,47.731 ns,0.0932 ns,0.0872 ns,1.00,1
